Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Jan NDVI,Feb NDVI,Mar NDVI,Apr NDVI,May NDVI,Jun NDVI,Jul NDVI,Aug NDVI,Sep NDVI,Oct NDVI,Nov NDVI,Dec NDVI
Aamli Chharchhoda Dam,21.3924,73.3858,Irrigation,Kotar,Dahod,dahod,106.0,Earthen,600.0,11.0,9.009,3,Unknown,Unknown,"Ukai, Reservoir ",34.1641,0.002,1295.4,1979.8,1387.9,1125.6,2121.1,1581.96,16.25,79.0,95.5,77.0,78.5,81.5,99.0,60.0,65.5,122.0,4.0,113.0,89.0
Abhalwad Dam,21.5733,71.4583,Irrigation,Zangarda,Jafarabad Mahal,Amreli,89.0,Earthen,477.0,18.0,0.0,3,Vertisols,Cambisols,"Tapi, River",146.6166,0.0001,1054.1,1074.2,720.9,683.9,1286.4,963.9,15.76,79.0,66.5,57.0,57.0,60.0,53.0,26.5,81.5,61.0,6.0,114.0,98.0
Adhia Dam,22.3897,70.9997,Irrigation,Beti,Jasdan,Rajkot,160.0,Earthen,1829.0,15.0,0.9009,3,Vertisols,Cambisols,"Mahi, River",213.7144,0.0,1026.5,1011.4,880.0,659.9,1491.7,1013.9,19.42,69.0,56.0,47.0,44.0,52.5,64.0,62.5,65.0,122.0,92.0,66.0,56.0
Adhochhani Dam,23.2927,69.3555,Irrigation,Adhochhani,Nakhtarana,Kachchh,138.0,Earthen,1000.0,16.94,0.9009,5,Luvisols,Cambisols,"Indus, River",194.148,0.0,910.0,530.8,655.7,655.3,851.8,720.72,21.77,99.0,87.5,70.0,65.0,67.5,66.0,75.5,90.0,78.0,98.0,86.0,95.0
Adhoi I Dam,23.3894,70.5113,Irrigation,Adhoi,Bhachau,Kachchh,90.0,Earthen,783.0,11.95,1.8018,5,Cambisols,Vertisols,"Mahi, River",283.1477,0.0,754.5,749.9,761.9,743.9,814.7,764.98,16.99,80.0,72.5,65.5,65.0,69.5,63.5,47.0,31.5,56.5,86.0,84.0,82.0
Adpur Dam,21.5347,71.8275,Irrigation,Local Stream,Palitana,Bhavnagar,62.0,Earthen,604.0,12.3,0.0,3,Vertisols,Cambisols,"Tapi, River",108.6611,0.0001,956.6,1183.5,764.4,708.0,1441.9,1010.88,15.48,76.5,74.0,70.0,67.0,70.5,83.0,83.0,82.5,51.5,96.5,94.0,75.0
Advana Dam,21.6413,69.6291,Irrigation,Sorthi,Porbandar,Porbandar,8.0,Earthen,1347.0,20.1,0.0,3,Vertisols,Cambisols,"Tapi, River",334.2341,0.0001,1796.0,963.4,927.1,1014.3,1720.4,1284.24,23.13,52.5,41.5,44.5,54.0,54.0,48.0,37.0,51.5,32.5,73.5,56.0,61.0
Aji I Dam,22.2597,70.8472,"Drinking, Water Supply",Aji,Rajkot,Rajkot,146.0,Earthen,3426.0,21.0,0.0,3,Vertisols,Cambisols,"Mahi, River",230.319,0.0,1004.7,898.1,799.5,698.6,1358.9,951.96,18.76,22.0,21.0,112.0,24.0,9.5,17.5,31.5,12.0,2.5,25.0,5.0,6.0
Aji II Dam,22.375,70.7736,Irrigation,Aji,Rajkot,Rajkot,103.0,Earthen / Gravity & Masonry,1291.0,23.57,0.0,3,Vertisols,Cambisols,"Mahi, River",237.0062,0.0,1037.3,937.5,1036.1,654.6,1356.0,1004.3,20.19,104.5,4.5,111.5,87.5,58.0,69.0,43.5,59.5,23.0,82.5,120.0,105.0
Aji III Dam,22.5091,70.58,Irrigation,Aji,Padadhari,Rajkot,52.0,Earthen / Gravity & Masonry,7883.0,25.0,0.0,4,Unknown,Unknown,"Mahi, River",256.767,0.0,1355.2,963.3,959.8,744.2,1204.0,1045.3,22.1,34.0,43.0,121.5,24.5,28.5,19.0,26.0,47.5,35.5,80.5,46.0,27.0
Aji IV Dam,22.7144,70.4847,Irrigation,Aji,Jodiya,Jamnagar,10.0,Earthen,658.0,21.9,0.9009,4,Vertisols,Cambisols,"Mahi, River",267.9589,0.0,1015.8,1077.5,983.9,705.2,1310.9,1018.66,21.57,88.0,84.0,57.0,51.0,65.5,40.5,55.0,77.0,52.0,98.5,68.0,73.0
Ajwa Dam,22.4066,73.38,Irrigation,Surya,Waghoriya,Vadodara,66.0,Earthen,4390.0,17.07,3.6036,3,Vertisols,Cambisols,"Mahi, River",31.3056,0.0,1197.1,1131.9,1055.2,1143.2,1606.7,1226.82,16.27,96.0,94.5,85.0,81.5,80.5,77.5,43.5,37.0,54.5,102.0,110.0,71.0
Alan Sagar Dam,22.0352,71.2019,,,Jasdan,Rajkot,198.0,,,,0.0,3,Vertisols,Cambisols,"Tapi, River",189.7556,0.0001,962.5,950.2,671.3,623.7,1453.7,932.28,16.01,70.5,69.0,72.0,58.5,77.0,57.5,98.0,112.0,46.0,76.0,79.0,83.0
Amalwant Dam,22.0888,74.0375,Irrigation,T Narmada,Chhota Udepur,Vadodara,193.0,Earthen,387.0,17.68,0.9009,3,Vertisols,Leptosols,"Narmada, River",59.1084,0.0001,1018.0,1066.1,1085.7,891.6,1625.4,1137.36,13.8,113.0,87.0,87.5,90.0,81.5,65.5,88.0,121.0,1.0,1.5,113.0,85.0
Ambajal Dam,21.2844,70.7347,Irrigation,Ambajal,Visavadar,Junagadh,163.0,Earthen,1472.8,19.18,6.3063,3,Vertisols,Cambisols,"Tapi, River",217.2404,0.0001,1399.0,1269.1,812.8,904.7,1334.5,1144.02,15.22,102.0,90.5,73.0,76.5,83.0,73.0,59.0,84.5,34.0,109.5,95.0,93.0
Ambakui Dam,21.2211,70.3644,Irrigation,Ambakui,Maliya Hatina,Junagadh,85.0,Earthen,1620.0,21.0,1.8018,3,Vertisols,Luvisols,"Tapi, River",255.6453,0.0001,1518.9,1168.8,1051.3,1059.0,1433.6,1246.32,17.1,114.0,84.5,64.0,71.5,72.0,44.0,29.0,72.0,15.0,121.0,89.0,102.0
Ambala Dam,21.7191,71.9597,Irrigation,Local Stream,Sihor,Bhavnagar,50.0,Earthen,713.7,14.0,3.6036,3,Vertisols,Cambisols,"Tapi, River",104.2541,0.0001,1012.8,1181.3,817.0,675.4,1457.0,1028.7,16.92,71.5,85.0,59.5,65.0,79.5,84.0,93.0,86.5,36.5,102.5,82.0,76.0
Ambani Khodiar Dam,21.3377,71.3049,Irrigation,Khodiyar Nahera,Kundla,Amreli,141.0,Earthen,1326.0,11.8,1.8018,3,Vertisols,Cambisols,"Tapi, River",158.404,0.0001,984.7,1039.1,642.8,670.9,1063.3,880.16,15.27,68.5,59.5,62.5,61.5,57.5,66.0,51.5,55.0,28.5,110.5,66.0,85.0
Ambaradi Dam,21.7869,71.4944,Irrigation,T/Bhadr,Gondal,Rajkot,94.0,Earthen,520.0,18.1,2.7027,3,Vertisols,Cambisols,"Tapi, River",150.6757,0.0001,1075.0,985.8,776.8,636.2,1383.8,971.52,17.05,103.0,82.5,66.0,61.5,61.5,59.5,58.5,63.5,36.5,109.0,98.0,89.0
Amirpur Dam,21.1225,70.1166,"Flood Control,Irrigation",Uben,Mangrol,Junagadh,21.0,Earthen,10209.0,,1.8018,3,Vertisols,Luvisols,"Tapi, River",281.7495,0.0001,1823.5,1002.7,1105.5,1233.1,1317.9,1296.54,17.85,87.0,76.5,53.0,60.5,57.0,70.0,61.0,110.0,73.5,106.5,70.0,77.0
Anandapar Dam,22.6988,71.01,Irrigation,T/Aji,Morbi,Rajkot,79.0,Earthen,620.0,16.8,0.0,4,Vertisols,Cambisols,"Mahi, River",214.2307,0.0,1453.9,980.1,838.1,670.8,1364.9,1061.56,22.21,66.5,67.5,56.5,56.5,61.0,60.5,28.5,91.0,21.0,88.5,65.0,69.0
Anandpar Dam,22.1019,70.8611,Irrigation,T/Aji,Rajkot,Rajkot,184.0,Earthen,231.0,15.0,0.9009,3,Vertisols,Cambisols,"Tapi, River",224.5928,0.0001,1098.7,911.9,766.1,725.8,1511.9,1002.88,17.3,86.0,71.0,55.0,50.5,59.5,70.5,75.5,77.5,10.5,95.0,86.0,92.0
Andhariparpata Dam,22.8386,73.9913,Irrigation,River,Limkheda,dahod,198.0,Earthen,775.0,12.0,0.9009,3,Vertisols,Cambisols,"Unknown, Lake",14.422,-0.0004,1062.7,1273.8,940.4,1367.7,1572.8,1243.48,16.29,109.0,94.0,74.5,67.5,72.0,67.0,41.5,94.5,108.0,106.5,99.0,77.0
Angianawa Dam,23.3427,69.2666,Irrigation,Bukhi Nadi,Nakhtarana,Kachchh,134.0,Earthen,416.0,10.5,0.9009,5,Luvisols,Regosols,"Indus, River",183.5766,0.0,847.5,458.1,605.8,631.2,795.7,667.66,21.15,67.5,71.0,54.0,58.0,54.5,55.0,51.5,57.5,30.0,78.5,75.0,86.0
Anida Dam,21.9691,70.7272,Irrigation,Local Stream,Gondal,Rajkot,134.0,Earthen,760.0,15.0,0.0,3,Vertisols,Cambisols,"Tapi, River",231.7817,0.0001,1146.1,933.3,742.3,774.0,1469.2,1012.98,17.79,97.0,83.5,68.0,54.5,54.0,47.5,70.0,27.5,22.5,100.0,103.0,96.0
