Name,Latitude,Longitude,Purpose,River,Nearest City,District,Elevation,Monsoon Intensity,Type,Length (m),Max Height above Foundation (m),Slope(%),Seismic_Zone,SoilType_Main,SoilType_Secondary,NearestRiver,RiverDistance(km),RiverFlowRate(m/day),Rainfall_2020,Rainfall_2021,Rainfall_2022,Rainfall_2023,Rainfall_2024,Rainfall_5yr_Avg,MonsoonIntensityAvg(mm/wet_day),Avg_NDVI_Last5Years,Geological_Suitability_Score,Climatic_Effect_Score,Overall_Suitability_Score,Geological_Suitability_Category,Climatic_Effect_Category,Overall_Suitability_Category,Rainfall_StdDev_5yr,Max_Annual_Rainfall,Min_Annual_Rainfall,NDVI_StdDev_5yr,NDVI_Trend_5yr
Aamli Chharchhoda Dam,21.3924,73.3858,Irrigation,Kotar,Dahod,dahod,106.0,,Earthen,600.0,11.0,9.009,3,Unknown,Unknown,,,,1295.4,1979.8,1387.9,1125.6,2121.1,1581.96,16.25,,58,50,54.8,Fair,Fair,Fair,440.73488970128057,2121.1,1125.6,,
Abhalwad Dam,21.5733,71.4583,Irrigation,Zangarda,Jafarabad Mahal,Amreli,89.0,,Earthen,477.0,18.0,0.0,3,Vertisols,Cambisols,,,,1054.1,1074.2,720.9,683.9,1286.4,963.9,15.76,,75,60,69.0,Good,Moderate,Moderate,255.81115104701752,1286.4,683.9,,
Adhia Dam,22.3897,70.9997,Irrigation,Beti,Jasdan,Rajkot,160.0,,Earthen,1829.0,15.0,0.9009,3,Vertisols,Cambisols,,,,1026.5,1011.4,880.0,659.9,1491.7,1013.9,19.42,,75,60,69.0,Good,Moderate,Moderate,304.837276263911,1491.7,659.9,,
Adhochhani Dam,23.2927,69.3555,Irrigation,Adhochhani,Nakhtarana,Kachchh,138.0,,Earthen,1000.0,16.94,0.9009,5,Luvisols,Cambisols,,,,910.0,530.8,655.7,655.3,851.8,720.72,21.77,,60,55,58.0,Moderate,Fair,Fair,156.19368425131663,910.0,530.8,,
Adhoi I Dam,23.3894,70.5113,Irrigation,Adhoi,Bhachau,Kachchh,90.0,,Earthen,783.0,11.95,1.8018,5,Cambisols,Vertisols,,,,754.5,749.9,761.9,743.9,814.7,764.98,16.99,,65,60,63.0,Moderate,Moderate,Moderate,28.56207275391619,814.7,743.9,,
Adpur Dam,21.5347,71.8275,Irrigation,Local Stream,Palitana,Bhavnagar,62.0,,Earthen,604.0,12.3,0.0,3,Vertisols,Cambisols,,,,956.6,1183.5,764.4,708.0,1441.9,1010.88,15.48,,75,60,69.0,Good,Moderate,Moderate,304.5533237382249,1441.9,708.0,,
Advana Dam,21.6413,69.6291,Irrigation,Sorthi,Porbandar,Porbandar,8.0,,Earthen,1347.0,20.1,0.0,3,Vertisols,Cambisols,,,,1796.0,963.4,927.1,1014.3,1720.4,1284.24,23.13,,68,45,58.8,Moderate,Poor,Fair,434.5942740073781,1796.0,927.1,,
Aji I Dam,22.2597,70.8472,"Drinking, Water Supply",Aji,Rajkot,Rajkot,146.0,,Earthen,3426.0,21.0,0.0,3,Vertisols,Cambisols,,,,1004.7,898.1,799.5,698.6,1358.9,951.96,18.76,,75,60,69.0,Good,Moderate,Moderate,254.3216034866091,1358.9,698.6,,
Aji II Dam,22.375,70.7736,Irrigation,Aji,Rajkot,Rajkot,103.0,,Earthen / Gravity & Masonry,1291.0,23.57,0.0,3,Vertisols,Cambisols,,,,1037.3,937.5,1036.1,654.6,1356.0,1004.3,20.19,,75,55,67.0,Good,Fair,Moderate,251.26950670544963,1356.0,654.6,,
Aji III Dam,22.5091,70.58,Irrigation,Aji,Padadhari,Rajkot,52.0,,Earthen / Gravity & Masonry,7883.0,25.0,0.0,4,Unknown,Unknown,,,,1355.2,963.3,959.8,744.2,1204.0,1045.3,22.1,,60,55,58.0,Moderate,Fair,Fair,237.65477062327193,1355.2,744.2,,
Aji IV Dam,22.7144,70.4847,Irrigation,Aji,Jodiya,Jamnagar,10.0,,Earthen,658.0,21.9,0.9009,4,Vertisols,Cambisols,,,,1015.8,1077.5,983.9,705.2,1310.9,1018.66,21.57,,63,60,61.8,Moderate,Moderate,Moderate,216.99076708468496,1310.9,705.2,,
Ajwa Dam,22.4066,73.38,Irrigation,Surya,Waghoriya,Vadodara,66.0,,Earthen,4390.0,17.07,3.6036,3,Vertisols,Cambisols,,,,1197.1,1131.9,1055.2,1143.2,1606.7,1226.82,16.27,,72,60,67.2,Good,Moderate,Moderate,218.31607132778842,1606.7,1055.2,,
Alan Sagar Dam,22.0352,71.2019,,,Jasdan,Rajkot,198.0,,,,,0.0,3,Vertisols,Cambisols,,,,962.5,950.2,671.3,623.7,1453.7,932.28,16.01,,65,55,61.0,Moderate,Fair,Moderate,330.3200599418691,1453.7,623.7,,
Amalwant Dam,22.0888,74.0375,Irrigation,T Narmada,Chhota Udepur,Vadodara,193.0,,Earthen,387.0,17.68,0.9009,3,Vertisols,Leptosols,,,,1018.0,1066.1,1085.7,891.6,1625.4,1137.36,13.8,,75,55,67.0,Good,Fair,Moderate,283.0965259412415,1625.4,891.6,,
Ambajal Dam,21.2844,70.7347,Irrigation,Ambajal,Visavadar,Junagadh,163.0,,Earthen,1472.8,19.18,6.3063,3,Vertisols,Cambisols,,,,1399.0,1269.1,812.8,904.7,1334.5,1144.02,15.22,,68,60,64.8,Moderate,Moderate,Moderate,266.42221566528565,1399.0,812.8,,
